key,FTZ,JTZ
601E6,埶,埶
601E7,埶,埶
601F2,乳,乳
601F3,致,致
601F4,卲,卲
601FC,娕,娕
601FD,襄,襄
60202,鑿,凿
60203,沬,沬
60204,盜,盜
6020A,冕,冕
6020B,女,女
6020C,母,母
60210,妾,妾
60214,每,每
60217,東母,东母
60218,媟,媟
60219,妬,妬
6021A,妍,姸
60221,妹,妹
60225,妻,妻
60226,妻,妻
60228,敏,敏
6022C,哭,哭
6023A,妃,妃
6023B,妥,妥
6023C,瞽,瞽
6023F,妌,妌
60240,好,好
60241,妹,妹
60243,媟,媟
60244,婡,婡
6024C,姀,姀
6024F,婪,婪
60252,訊,讯
60253,如,如
60254,姼,姼
60269,姃,姃
60271,媳,媳
60272,奻,奻
60275,姫,姫
60276,姬,姬
60278,鬼,鬼
60279,婢,婢
6027A,婢,婢
6027F,娕,娕
60281,御,御
60284,媵,媵
60285,媵,媵
6028B,姓,姓
6028F,姪,侄
60293,汝,汝
60298,娘,娘
6029D,嬂,嬂
6029F,姝,姝
602A1,嫀,嫀
602A3,姛,姛
602A8,㚵,㚵
602A9,娅,娅
602B3,奴,奴
602BE,妞,妞
602C2,妦,妦
602C3,孕,孕
602C7,婤,婤
602CC,妊,妊
602CF,㚸,㚸
602D6,妸,妸
602D9,乘,乘
602DB,子,子
602DC,子,子
602DD,子,子
602E0,多子,多子
602E2,嘉,嘉
602E3,孚,孚
602E4,孚,孚
602E5,孚,孚
602E7,孟,孟
602E9,棄,弃
602EA,棄,弃
602EB,棄,弃
602F6,毓,毓
602F9,毓,毓
602FA,毓,毓
602FD,保,保
60300,保,保
60304,目,目
60305,虍,虍
60306,直,直
60307,瞽,瞽
60309,眢,眢
6030A,眢,眢
6030B,眢,眢
6030D,眢,眢
6030F,曼,曼
60312,民,民
60314,面,面
60315,面,面
60316,眔,眔
60319,遝,遝
6031A,省,省
60322,散,散
60325,散,散
60326,散,散
6032A,眉,眉
6032E,湄,湄
60339,視,视
6033A,見,见
60344,眉,眉
60345,媚,媚
60347,履,履
60349,眉,眉
6034F,監,监
60355,相,相
60356,臣,臣
60357,望,望
60359,望,望
6035A,望,望
6035D,童,童
6035F,暊,暊
60361,臧,臧
60362,栕,栕
60367,嚚,嚚
6036A,臤,臤
60376,耳,耳
60378,取,取
60379,取,取
6037C,䋙,䌺
60384,驟,骤
60386,聽,听
60388,聽,听
6038C,聞,闻
60391,聑,聑
60392,洱,洱
60396,自,自
60398,臬,臬
60399,㴪,㴪
6039A,鼻,鼻
6039B,濞,濞
6039C,劓,劓
6039D,臭,臭
603A0,邊,边
603A2,劓,劓
603A4,息,息
603A9,口,口
603AA,甘,甘
603AB,曰,曰
603AC,告,告
603AD,舌,舌
603B0,言,言
603BB,缶,缶
603BC,吉,吉
603BD,祫,祫
603BF,由,由
603C1,唐,唐
603C7,克,克
603CB,合,合
603CE,會,会
603D5,冑,冑
603DD,龠,龠
603DF,龠,龠
603E5,喦,岩
603E6,喦,岩
603E7,品,品
603E9,㗊,㗊
603EA,區,区
603F2,咰,咰
603F6,叵,叵
603FC,喪,丧
60400,止,止
60401,步,步
60405,涉,涉
60407,之,之
60408,沚,沚
60409,出,出
6040B,各,各
6040D,踊,踊
60418,置,置
6041B,置,置
6041D,定,定
6041E,正,正
6041F,圍,围
60424,韋,韋
60425,疋,疋
6042B,臺,臺
60433,後,後
60434,後,後
60436,市,市
60437,先,先
60439,往,往
6043A,逸,逸
6043C,徒,徒
6043F,咎,咎
60441,此,此
60447,躋,跻
6044A,耑,耑
6044E,逐,逐
60456,遭,遭
60457,遭,遭
60458,遭,遭
6045A,遭,遭
6045C,洗,洗
6045F,洗,洗
60463,癹,癹
60465,途,途
6046C,疐,疐
60470,疐,疐
60472,复,复
60474,腹,腹
60479,武,武
6047B,歷,历
6047E,遭,遭
60480,邍,邍
60483,速,速
60486,笹,笹
60489,臺,臺
60491,又/右/有/侑/佑/祐,又/右/有/侑/佑/祐
60492,左/佑,左/佑
60493,叉,叉
60495,汊,汊
60498,芻,刍
6049A,祭,祭
6049C,父,父
6049E,尹,尹
6049F,君,君
604A9,對,对
604AA,朮,朮
604AD,枹,枹
604B2,度,度
604B4,㘝,㘝
604BC,夬,夬
604BD,肘,肘
604BE,肘,肘
604BF,厷（肱）,厷（肱）
604C0,守,守
604D2,廾,廾
604D5,友,友
604D6,并,并
604D9,薦,荐
604DC,共,共
604E0,爰,爰
604E1,帥,帅
604E4,尋,寻
604E9,臿,臿
604EB,臿,臿
604EF,秦,秦
604F1,尤,尤
604F3,舂,舂
604F5,芟,芟
604F6,彝,彝
604F7,彝,彝
604F8,爭,争
60504,非,非
60507,瘥,瘥
6051C,鑿,凿
60522,枚,枚
60527,敝,敝
60536,肇,肇
60541,首,首
60543,首,首
6054C,夒,夒
60554,頁,页
60555,夒,夒
6055B,白,白
6055C,帛,帛
6055D,百,百
6055F,西,西
60562,囟,囟
60568,甹,甹
6056C,甶,甶
60573,鹵,鹵
60576,迺,迺
6057A,畜,畜
60583,上,上
60584,下,下
60585,上下,上下
60586,示,示
60588,示,示
6058B,兮,兮
6059C,祐,祐
6059D,祐,祐
605A0,祼,祼
605A1,祼,祼
605A4,祼,祼
605AB,祼,祼
605AC,祉,祉
605B0,祝,祝
605B1,祗,祗
605B5,祀,祀
605B9,祝,祝
605BA,帝,帝
605BB,禘,禘
605BD,小帝,小帝
605C4,日,日
605C5,暈,晕
605C7,昜,昜
605C8,旦,旦
605CA,昔,昔
605CD,晝,昼
605CE,昃,昃
605CF,昏,昏
605D3,昌,昌
605D6,良,良
605E0,月/夕,月/夕
605E1,夕/月,夕/月
605E4,明,明
605E5,朙,朙
605E6,囧,囧
605E8,眀,眀
605E9,名,名
605F0,霸,霸
605F4,云,云
605FC,旬,旬
60601,雨,雨
60606,雹,雹
60607,霝,霝
60608,霝,霝
6060C,雪,雪
6060E,霋,霋
60610,雩,雩
60612,霾,霾
6061A,霖,霖
60620,䨣,䨣
60627,雷,雷
6062B,㵢,㵢
6062F,土,土
60633,丘,丘
60641,山,山
60642,火,火
60646,焚,焚
60649,叟,叟
6064C,焚,焚
60655,赤,赤
60657,去,去
60665,炘,炘
60666,灾,灾
6066D,焱,焱
6066E,炎,炎
60671,燮,燮
60672,烕,烕
60674,炋,炋
60676,岳,岳
60679,岳,岳
6067F,光,光
60685,呈,呈
6068C,阜,阜
60690,陟,陟
60693,降,降
60696,顛,颠
60697,顛,颠
60699,陶,陶
606A0,䧅,䧅
606A2,陮,陮
606A3,鄏,鄏
606B4,水,水
606B8,川/災,川/灾
606BB,州,州
606BE,洛,洛
606BF,洛,洛
606C0,沙,沙
606C5,災,灾
606CD,洹,洹
606D2,兆,兆
606D7,沉,沉
606D8,沉,沉
606E5,漅,漅
606EB,河,河
606EE,災,灾
606FF,潾,潾
60700,洱,洱
60701,沁,沁
60702,淵,渊
60705,汒,汒
60709,瀼,瀼
6070C,洒,洒
60715,沓,沓
60719,深,深
6071B,濤,涛
6071E,潦,潦
60727,兆,兆
6072F,濯,濯
60735,夆,夆
60737,屮,屮
60739,生,生
6073A,橐,橐
6073B,橐,橐
6073D,丰,丰
60742,弋,弋
60746,苑,苑
6074E,刈,刈
60752,艿,艿
60757,鬱,鬰
60758,莫,莫
60764,朝,朝
6076C,木,木
6077A,采,采
6077C,权,权
60783,析,析
60786,困,困
60788,杕,杕
60789,杞,杞
6078B,柳,柳
6078F,榆,榆
60791,杏,杏
60794,尌,尌
6079A,楚,楚
6079D,柏,柏
607A0,散,散
607A5,埜,埜
607AB,春,春
607B4,杲,杲
607B7,枼,枼
607BF,桑,桑
607C2,櫅,
607C5,喪,丧
607D1,亲,亲
607D4,桐,桐
607D6,杉,杉
607D7,林,林
607D8,森,森
607DA,栅,栅
607DB,杜,杜
607DF,焚,焚
607E5,禾,禾
607E9,秉,秉
607EA,委,委
607EC,利,利
607F2,龢,和
607F8,䆁,䆁
607FF,剌,剌
60807,秜,秜
60808,季,季
60809,季,季
6080A,年,年
6080B,黍,黍
6080C,黍,黍
6080D,黍,黍
6080F,穆,穆
60814,來,来
60818,香,香
6081E,麥,麦
6082F,燎,燎
60830,燎,燎
6083C,束,束
60848,奏,奏
6084D,祗,祗
60850,求,求
60856,邍,邍
60858,牛,牛
6085A,牟,牟
6085B,牢,牢
6085C,牡,牡
6085D,牝,牝
6085F,牧,牧
6086A,羊,羊
6086B,羋（岳）,岳
6086F,牢,牢
60874,羴,羴
6087B,騂,骍
6087E,羞,羞
60881,恙,恙
60885,犬,犬
60889,尨,尨
6088A,猶,犹
6088C,邇,迩
6088D,邇,迩
60890,邇,迩
60894,狽,狈
60897,莽,莽
6089D,兆,兆
6089E,豕,豕
608A0,豖,豖
608A1,豭,豭
608A5,豚,豚
608A6,彘,彘
608AE,剢,剢
608AF,狐,狐
608B3,圂,圂
608C1,馬,马
608C9,鎷,鎷
608CB,駁,驳
608D3,駛,驶
608D8,兕,兕
608E0,陷,陷
608E3,象,象
608E5,爲,为
608EB,廌,廌
608EF,慶,庆
608F3,㲋,㲋
608F8,鼠,鼠
608FC,虎,虎
608FF,豹,豹
60901,暴,暴
60907,暴,暴
60914,暴,暴
60915,虍,虍
6091C,驅,驱
6091D,櫓,橹
6091F,皆,皆
60920,皆,皆
60926,盧,卢
60928,虘,虘
6092E,麑,麑
60932,麇,麇
60933,熊,熊
60934,麋,麋
60935,麐,麐
60937,陷,陷
60938,陷,陷
60942,麐,麐
60943,逐,逐
60944,逐,逐
60946,麓,麓
6094B,隹,隹
6094C,風,风
6094D,鳥,鸟
60953,隻（獲）,隻（获）
60958,濩,濩
60968,風,风
6096D,寉,寉
60970,翟,翟
60971,脽,脽
60975,雝,雝
6097A,淮,淮
6097C,舊,舊
6097F,雚,雚
60981,雈,雈
60983,陰,阴
60995,霍,霍
60998,雇,雇
609A2,雉,雉
609A3,雉,雉
609A6,雉,雉
609A8,鴻,鸿
609AA,鳧,凫
609AB,雥,雥
609AC,集,集
609AE,雀,雀
609B8,鳴,鸣
609B9,唯,唯
609C2,曣,曣
609C8,島,岛
609C9,燕,燕
609CF,魚,鱼
609D1,魯,鲁
609D4,鯀,鲧
609D6,渔,渔
609D9,渔,渔
609E0,禦,禦
609E2,龍,龙
609E6,龔,龚
609E7,龐,庞
609ED,瀧,泷
609F1,嚨,咙
609FE,它,它
60A00,虫,虫
60A03,害,害
60A04,害,害
60A07,䖵,䖵
60A0A,氒,氒
60A0B,祀,祀
60A0C,蚤,蚤
60A11,虹,虹
60A13,汜,汜
60A17,巳,巳
60A18,改,改
60A1A,萬,萬
60A1C,萬,萬
60A1D,禺,禺
60A20,澫,澫
60A21,澫,澫
60A23,鼄,蛛
60A2C,鼉,鼍
60A2D,鼉,鼍
60A33,鳖,鳖
60A38,龜,龟
60A39,龝,秋
60A4C,米,米
60A4E,釆,釆
60A4F,宩,宩
60A51,乎,乎
60A55,卣,卣
60A5A,瘥,瘥
60A5D,栗,栗
60A62,彗,彗
60A65,習,習
60A69,翌,翌
60A6B,翌,翌
60A6C,翊,翊
60A73,角,角
60A77,解,解
60A78,貝,贝
60A7A,㝵,㝵
60A7B,得,得
60A82,貪,贪
60A85,敗,败
60A87,䝭,䝭
60A88,貯,贮
60A8D,寶,宝
60A94,買,买
60A96,心,心
60A98,吢,吢
60A99,念,念
60A9A,杺,杺
60A9C,惄,惄
60AA0,懋,懋
60AA6,入,入
60AA7,卒/衣,卒/衣
60AAA,勞,劳
60AAC,勞,劳
60AAD,裘,裘
60AAF,因,因
60AB1,袁,袁
60AB4,袁,袁
60AB5,疐,疐
60AB6,初,初
60AB7,庇,庇
60ABF,卒,卒
60AC0,袁,袁
60AC2,卒,卒
60AC3,終,终
60AC5,仌,仌
60AC6,齊,齐
60AC9,今,今
60AD7,余,余
60AD9,涂,涂
60ADA,亯,亯
60ADF,敦,敦
60AE2,郭,郭
60AE5,陴,陴
60AEA,孰,孰
60AEB,孰,孰
60AFC,京,京
60AFD,膏,膏
60AFE,膏,膏
60B00,京,京
60B04,髙,高
60B06,亳,亳
60B09,高,高
60B0A,蒿,蒿
60B10,豪,豪
60B15,圭,圭
60B19,竽,竽
60B1B,㐭,㐭
60B22,啚,啚
60B25,嗇,啬
60B29,檀,檀
60B2E,宀,宀
60B2F,向,向
60B30,宮,宫
60B33,宗,宗
60B34,寇,寇
60B35,寢,寢
60B37,室,室
60B3A,家,家
60B43,寧,寧
60B44,㝡,㝡
60B45,庭,庭
60B48,寇,寇
60B4B,罙,罙
60B4C,寒,寒
60B51,冗,冗
60B52,宓,宓
60B57,宅,宅
60B5A,安,安
60B60,賓,宾
60B84,宪,宪
60B9A,㢀,㢀
60BA3,宛,宛
60BA8,塞,塞
60BAA,宰,宰
60BAC,宰,宰
60BAF,璞,璞
60BB6,㐁,㐁
60BB8,宿,宿
60BBA,坐,坐
60BBB,坐,坐
60BBE,尋,寻
60BC2,丙,丙
60BC3,內,内
60BCB,㕯,㕯
60BD2,更,更
60BD4,商,商
60BD7,商,商
60BDA,滳,滳
60BE8,娩,娩
60BEA,瘥,瘥
60BEC,泉,泉
60BFA,戶,户
60BFF,雇,雇
60C02,啟,启
60C08,門,门
60C0A,問,问
60C0C,焛,焛
60C15,倉,仓
60C1C,祊,祊
60C1E,星,星
60C20,晶,晶
60C24,雝,雍
60C27,㴩,㴩
60C28,吕,吕
60C2B,雹,雹
60C37,田,田
60C3C,稼,稼
60C3F,稠,稠
60C41,穧,穧
60C42,邦,邦
60C43,甫,甫
60C48,囿,囿
60C4B,曾,曾
60C50,周,周
60C52,盧豕,卢豕
60C58,盧,卢
60C5D,㽙,㽙
60C5E,男,男
60C60,畋,畋
60C61,弋,弋
60C66,畕,畕
60C67,擒,擒
60C6A,曲,曲
60C6F,鬼,鬼
60C70,鬽,鬽
60C73,鬼,鬼
60C74,鬼,鬼
60C75,鬼,鬼
60C79,醜,醜
60C7C,鬼日,鬼日
60C7D,畏,畏
60C80,齒,齿
60C83,囧,囧
60C84,齲,龋
60C89,禍,祸
60C8D,占,占
60C91,冎,冎
60C94,占,占
60C98,占,占
60C9A,司,司
60C9B,卜,卜
60C9F,匚,匚
60CA2,匡,匡
60CA6,石,石
60CA7,石,石
60CA8,祏,祏
60CAA,司,司
60CAB,宕,宕
60CAC,庶,庶
60CAE,硪,硪
60CAF,妬,妬
60CB0,㚸,㚸
60CB1,砅,砅
60CB4,厚,厚
60CB5,石甲,石甲
60CB6,䂫,䂫
60CB9,磬京,磬京
60CBB,磬,磬
60CBD,聲,声
60CC7,聲,声
60CCF,辰,辰
60CD0,震,震
60CD1,振,振
60CD2,晨/辳,晨/辳
60CD4,蓐,蓐
60CD6,農/䢅/,农
60CD9,亘,亘
60CDA,宣,宣
60CDC,行,行
60CE0,征,征
60CE2,延,延
60CF0,衛,衛
60CFB,逴,逴
60CFF,永,永
60D0B,從,從
60D0C,從,從
60D15,遲,迟
60D18,彶,彶
60D1B,达,达
60D21,疑,疑
60D23,御,御
60D24,御,御
60D2E,迅,迅
60D34,迅,迅
60D36,通,通
60D38,䢔,䢔
60D39,巡,巡
60D45,害,害
60D4B,律,律
60D53,遠,远
60D5A,街,街
60D61,逢,逢
60D67,徠,徕
60D6D,徝,徝
60D70,延,延
60D73,遼,辽
60D76,戈,戈
60D77,戓,戓
60D78,肇,肇
60D7A,肇,肇
60D7B,肇,肇
60D7D,誖,悖
60D83,干,干
60D89,盾,盾
60D8C,古,古
60D93,伐,伐
60D94,伐,伐
60D95,伐羌,伐羌
60D96,戍,戍
60D99,蔑,蔑
60D9A,㦰,㦰
60D9C,戠,戠
60D9E,戠牛,戠牛
60D9F,戠,戠
60DA0,戠,戠
60DA2,,
60DA5,翦,翦
60DAC,戔,戋
60DB0,戎,戎
60DB1,歲,岁
60DB2,孽,孽
60DB3,戊,戊
60DB7,歲,岁
60DBB,戒,戒
60DBD,戒,戒
60DC9,斧,斧
60DCA,截,截
60DCB,蔑,蔑
60DCF,栽,栽
60DD4,新,新
60DD6,戌,戌
60DD7,成,成
60DDB,咸,咸
60DDF,咸,咸
60DE6,戚,戚
60DEA,戉,戉
60DEC,我,我
60DEE,娥,娥
60DF4,義,义
60DF6,義京,义京
60DF7,刀,刀
60DF9,勿,勿
60DFC,刃,刃
60DFD,分,分
60DFE,㓞,㓞
60DFF,匄,匄
60E00,剢,剢
60E08,刜,刜
60E0A,刖,刖
60E0D,召,召
60E0E,召,召
60E1C,冎,冎
60E1D,䇂,䇂
60E20,孽,孽
60E22,薛,薛
60E28,璧,璧
60E2A,辟,辟
60E32,刈,刈
60E35,刈,刈
60E3D,遲,迟
60E3E,瓒,瓒
60E42,小辛,小辛
60E44,不,不
60E47,抔,抔
60E52,斤,斤
60E53,兵,兵
60E54,㹞,㹞
60E57,新,新
60E59,折,折
60E5A,折,折
60E5B,斧,斧
60E5C,新,新
60E5F,肵,肵
60E65,訢,䜣
60E67,矢,矢
60E70,至,至
60E76,夷,夷
60E79,畀,畀
60E7F,侯,侯
60E83,箙,箙
60E85,箙,箙
60E86,備,備
60E87,畐,畐
60E8B,圅,函
60E8F,涵,涵
60EA2,交/黃,交/黃
60EA7,黃尹,黃尹
60EAA,效,效
60EAC,黃牛,黃牛
60EAD,黃,黄
60EAF,廣,廣
60EB4,㚔,㚔
60EB8,逸,逸
60EBC,圉,圉
60EC3,執,执
60EC8,圉,圉
60ECB,㝪,
60ECC,執,执
60ED1,執,執
60ED8,縶,縶
60EDE,弓,弓
60EDF,弘,弘
60EE2,彈,弹
60EE3,癹,癹
60EEB,射,射
60EF0,引,引
60EF1,勿,勿
60EF7,弜,弜
60F02,乃,乃
60F03,可,可
60F07,皿,皿
60F08,盟,盟
60F0B,盟,盟
60F15,益,益
60F17,溫,温
60F18,溫,温
60F1A,昏,昏
60F1C,肆,肆
60F1D,蠱,蛊
60F25,般,般
60F26,罙,罙
60F27,襄,襄
60F28,盖,盖
60F2B,盖,盖
60F2C,注,注
60F2E,注,注
60F30,盡,尽
60F32,盡,尽
60F33,盂,盂
60F39,罙,罙
60F3C,寧,寧
60F3E,濘,濘
60F3F,襄,襄
60F49,煮,煮
60F4F,罙,罙
60F58,般,般
60F59,鑄,铸
60F5F,舂,舂
60F61,丞,丞
60F62,坎,坎
60F63,坎,坎
60F64,坎,坎
60F65,坎,坎
60F71,酉,酉
60F72,奠,奠
60F73,奠,奠
60F74,尊,尊
60F7B,配,配
60F7D,酌,酌
60F7E,酓,酓
60F82,飲,饮
60F84,飲,饮
60F85,飲,饮
60F86,壺,壶
60F8A,壺,壶
60F8E,酉,酉
60F8F,酒,酒
60F92,䊤,䊤
60F9B,祼,祼
60FA0,甗,甗
60FA2,鼎,鼎
60FA4,眞,真
60FA8,䵼,䵼
60FB1,員,员
60FB3,鬳,鬳
60FB4,獻,献
60FB5,具,具
60FB6,敗,败
60FBA,鑊,镬
60FC5,鬲,鬲
60FCA,徹,彻
60FCE,蒚,蒚
60FD6,爵,爵
60FD9,爵,爵
60FDB,灂,灂
60FE2,斝,斝
60FE6,㿝/皀,㿝/皀
60FED,食,食
60FFB,登,登
60FFF,登,登
61000,登,登
61002,登,登
61003,登,登
61009,登,登
6100F,𣪕,𣪕
61017,豆,豆
6101A,皀,皀
6101D,飽,饱
61021,壴,壴
61026,鼓,鼓
6102B,喜,喜
6102C,熹,熹
6102D,彭,彭
6102F,壴,壴
61037,豐,丰
61038,嬉/艱,嬉/艰
61039,艱,艰
61044,其,其
61048,基,基
61049,㠱,㠱
6104A,糞,粪
6104B,棋,棋
6104C,敢,敢
6104F,敢,敢
61051,糞,粪
61054,禽,禽
6105C,擒,擒
6105E,擒,擒
61064,助,助
61067,网,网
6106B,羆,羆
6106E,罝,罝
61070,䍜,䍜
61077,薦,荐
6107B,剛,刚
6107D,剛,刚
6107E,剛,刚
61081,䍜（罩）,䍜（罩）
61082,䍜（罩）,䍜（罩）
61083,䍜（罩）,䍜（罩）
61086,罝,罝
6108B,同,同
6108C,興,兴
6108E,興,兴
61090,同,同
61091,用,用
61095,豰,豰
61096,宁,宁
6109D,丹,丹
610A0,井,井
610A1,汫,汫
610A3,阱,阱
610A6,南,南
610AF,㱿,㱿
610B1,豰,豰
610B3,歺,歺
610B6,死,死
610BD,葬,葬
610C2,阱,阱
610C3,阱,阱
610C7,柲,
610C9,弋,弋
610D7,庸,庸
610DE,亞,亚
610E0,琮,琮
610F0,工,工
610F1,工,工
610F2,工,工
610F4,小工,小工
610F9,恒,恒
610FB,巫,巫
61105,彔,录
61109,麓,麓
61113,仲/中,仲/中
61114,使/事,使/事
61117,中,中
6111A,中,中
61125,古,古
6112F,冊,册
61135,典,典
6113A,智,智
6113C,智,智
61140,智,智
6114C,弗,弗
6114D,叀,叀
6114F,專,专
61151,傳,传
6115A,轡,辔
61163,東,东
61166,曹,曹
6116A,量,量
61174,重,重
61176,童,童
61179,帚,帚
6117D,婦,妇
61182,寖,寖
61184,寖,寖
6118C,侵,侵
6118E,歸,归
61191,師,师
61192,次,次
61194,次,次
61195,追,追
61196,追,追
6119F,遣,遣
611A3,官,官
611AA,桘,桘
611AD,㫃,㫃
611B1,奔,奔
611B2,旋,旋
611B3,旋,旋
611B4,族,族
611BB,斿,斿
611BC,旅,旅
611C6,㫃,㫃
611D8,單/干,单/干
611DB,祈,祈
611E4,獸,狩
611E8,行單,行单
611E9,北單,北单
611EC,干/單,干/单
611EF,爿,爿
611F5,戕,戕
611F6,葬,葬
611F7,疾,疾
611F8,痍,痍
611FA,葬,葬
611FC,寐,寐
611FD,寐,寐
611FE,將,将
61205,夢,梦
6120A,小臣爿,
6120B,牆,墻
6120F,妝,妆
61217,葬,葬
61218,葬,葬
6121D,竹,竹
6121F,聿,聿
61220,君,君
61221,畫,画
61222,畫,画
61223,子畫,子画
61224,澅,澅
61232,冉,冉
61233,偁,
6123D,偁,偁
6123E,爯,爯
61245,冓,冓
61246,遘,遘
6124A,万,万
6124B,兮,兮
6124D,方,方
61251,旁,旁
61255,舟,舟
61256,朕,朕
61257,受,受
61259,興,兴
6125B,般,般
6125E,俞,俞
61263,侜,侜
61266,盜,盗
61268,洀,洀
6126B,洀,洀
61273,洀,洀
61277,車,车
61279,車,车
6127C,輦,辇
6127E,率,率
61282,奚,奚
61285,奚,奚
61293,鷄,鸡
61299,係,係
6129C,茲,兹
612A2,樂,乐
612A4,濼,泺
612A5,櫟,栎
612A9,㡭,㡭
612B3,幼,幼
612BD,辭,辭
612BF,羈,羁
612C1,牽,牵
612C4,橐,橐
612C6,㯱,㯱
612CE,絲,丝
612D2,糸,糸
612DD,糿,糿
61307,弔,弔
61308,係,係
6130C,弟,弟
6130E,弟,弟
61317,斗,斗
61319,于,于
6131C,丂,丂
6131D,豸,豸
6132B,乍（作）,乍（作）
61330,乂,乂
61331,爻（學）,爻（学）
61332,學,学
61339,教,教
6133D,文,文
61345,吝,吝
6134C,吾,吾
61350,王,王
61357,小王,小王
61358,玉,玉
6135B,玨,玨
6135C,朋,朋
61361,倗,倗
6136A,丯,丯
61370,力,力
61371,協,协
61372,劦,劦
61373,劦,劦
61379,耤,耤
6137B,耤,耤
6137C,耤,耤
61383,乇,乇
61385,耤,耤
6138D,屯,屯
6138E,屯,屯
61394,肉,肉
61397,多,多
6139A,宜,宜
6139F,刞,刞
613A2,祖,祖
613A4,爾,尔
613A6,棘,棘
613A7,爾,尔
613AA,朿,朿
613B3,責,责
613B7,帶,带
613BC,黹,黹
613BD,黹,黹
613C0,黹,黹
613D7,公,公
613D8,公,公
613DA,谷,谷
613DB,兮,兮
613DF,䇂,䇂
613FE,气,气
613FF,彡（肜）,彡（肜）
61401,易,易
61402,小,小
61403,小,小
61404,在,在
61408,在,在
61409,升,升
6140D,用,用
6141E,有/侑/佑/祐,有/侑/佑/祐
6143F,亡,亡
61440,丩,丩
61452,直,直
61457,甲,甲
6145B,丙,丙
61462,丁,丁
61467,戊,戊
6146F,己,己
61473,庚,庚
6147B,辛,辛
61480,壬,壬
61483,癸,癸
61496,丑,丑
61499,寅,寅
6149F,卯,卯
614A1,辰,辰
614A7,巳,巳
614AC,午,午
614AF,未,未
614B5,申,申
614BA,酉,酉
614C2,戌,戌
614C9,亥,亥
614CE,上甲,上甲
614D2,报乙,报乙
614D3,报丙,报丙
614D4,报丁,报丁
61587,六,六
6158D,八,八
6159C,貞,贞
615A8,三千,三千
615B8,及,及
615C4,䇂,䇂
615E7,旡,旡
61607,勻,匀
61610,甾,甾
6162B,復,复
61652,帝,帝
61658,侚,侚
6166B,洚,洚
61695,物,物
616B9,湡,湡
616BE,買,买
616C7,高,高
616C9,高,高
616F7,迅,迅
616FA,奉,奉
61702,翦,翦
61707,羲,羲
6170A,此,此
6170C,災,灾
6170D,矢,矢（雉）
6171A,寜,宁
6171E,吉,吉
